Year Released,Album Length,Album Name,Artist
2021,3183843,Reworks I,Sub Focus
2020,2983902,Portals,Sub Focus
2013,3525458,Torus,Sub Focus
2013,4575339,Torus (Deluxe Version),Sub Focus
2009,3401613,Sub Focus,Sub Focus
2019,4845315,Manifest Remixed,Mefjus
2018,6291517,My Manifest (Album Commentary),Mefjus
2018,4106503,Manifest,Mefjus
2014,4457435,Emulation,Mefjus
2021,4014120,Organ,Dimension
2017,3419995,Hypnotic,Wilkinson
2014,4643093,Lazers Not Included (Extended Edition),Wilkinson
2013,3167042,Lazers Not Included,Wilkinson
2019,3822144,Resonate,Dossa & Locuzzed
2015,4582067,Life (Deluxe),Sigma
2016,4752798,Gothenburg Cluster,Urbandawn
2020,4632452,Red Bull Symphonic,Camo & Krooked
2018,7805400,MOSAIK REMIXED,Camo & Krooked
2017,4174583,Mosaik,Camo & Krooked
2013,3722821,Zeitgeist,Camo & Krooked
2012,5438196,Between The Lines,Camo & Krooked
2011,4588538,Cross The Line (Special Edition),Camo & Krooked
2011,3560861,Cross The Line,Camo & Krooked
2010,7504781,Above & Beyond,Camo & Krooked
2020,6332153,It's A Gee Thing,Macky Gee
2018,5351082,Moments,Macky Gee
2016,4323276,Sway,Macky Gee
2014,3796352,The 'Mentally Disturbed' LP,Macky Gee
2011,4845289,The 'Mad Man' LP,Macky Gee
2018,2612348,Connections,Friction
2020,3392789,Illusion of Depth,Mat Zo
2020,13367055,Mat Zo Presents: 20 Years Of Anjunabeats,Mat Zo
2019,2220380,This is MAD ZOO (DJ Mix),Mat Zo
2016,2668779,Self Assemble,Mat Zo
2013,3505319,Damage Control,Mat Zo
2012,5797137,Anjunabeats pres. Mat Zo 01,Mat Zo
2020,2860250,Tunnel Vision,Annix
2016,4077635,Forever,Annix
2013,4245031,Inception,Annix
2018,2264998,No Tourists,The Prodigy
2015,8668896,The Day Is My Enemy (Expanded Edition),The Prodigy
2015,3370916,The Day Is My Enemy,The Prodigy
2012,5018594,The Fat of the Land - Expanded Edition,The Prodigy
2011,3943912,World's on Fire (Live at Milton Keynes Bowl) [2020 Remaster],The Prodigy
2009,7477164,Invaders Must Die,The Prodigy
2008,7511362,Experience: Expanded (Remixes & B-sides),The Prodigy
2008,7137031,More Music for the Jilted Generation,The Prodigy
2005,9035644,Their Law The Singles 1990 - 2005,The Prodigy
2004,3491008,"Always Outnumbered, Never Outgunned",The Prodigy
1997,3387930,The Fat of the Land,The Prodigy
1994,4696874,Music for the Jilted Generation,The Prodigy
2019,3338245,Document One,Document One
2021,2892754,Music Is The Weapon (Reloaded),Major Lazer
2020,2267848,Diplo Presents Thomas Wesley: Snake Oil (Deluxe),Diplo
2020,2373767,MMXX,Diplo
2020,1968906,Diplo Presents Thomas Wesley Chapter 1: Snake Oil,Diplo
2019,1846582,"LABRINTH, SIA & DIPLO PRESENT... LSD",Sia
2015,3515270,Peace Is The Mission (Extended),Major Lazer
2015,2125955,Skrillex and Diplo present Jack Ü,Jack Ü
2014,6339486,F10RIDA,Diplo
2014,2809953,Random White Dude Be Everywhere,Diplo
2009,2788635,Decent Work For Decent Pay,Diplo
2004,3317115,Florida,Diplo
2020,5398674,Dark Matter,CamelPhat
2020,5825621,Only in Dreams (Remixes),Delta Heavy
2019,2608313,Only in Dreams,Delta Heavy
2016,3146784,Paradise Lost,Delta Heavy
2020,8897635,Lost Remixes (1999 - 2009),Basement Jaxx
2020,2979880,Lost Tracks (1999 - 2009),Basement Jaxx
2020,2105094,Jaxx Classics Remixed,Basement Jaxx
2020,5254869,Lost Dubs (1999 - 2009),Basement Jaxx
2019,3714040,"Elrow, Vol. 4 (DJ Mix)",Basement Jaxx
2015,5807766,Junto Remixed,Basement Jaxx
2014,6858122,Junto (Special Edition),Basement Jaxx
2014,3147477,Junto,Basement Jaxx
2011,3770836,Basement Jaxx Vs. Metropole Orkest,Basement Jaxx
2009,2001226,Zephyr,Basement Jaxx
2009,3179236,Scars,Basement Jaxx
2006,2808888,Crazy Itch Radio,Basement Jaxx
2005,7030150,The Singles,Basement Jaxx
2003,3043102,Kish Kash,Basement Jaxx
2001,2589996,Rooty,Basement Jaxx
1999,3429263,Remedy,Basement Jaxx
2021,1562391,Soundtrack to an Existential Crisis,Au/Ra
2014,3390890,Abandon Ship,Knife Party
2019,2872012,Sequence,Culture Shock
2020,3879702,Second Nature,Netsky
2016,2798050,3,Netsky
2012,7496111,2 Deluxe,Netsky
2012,3637569,2,Netsky
2010,4819458,Netsky,Netsky
2021,4215220,Dusty Demos,Break
2018,4477025,Another Way,Break
2015,3659244,Simpler Times,Break
2011,5100567,Commercial Suicide Presents: Break,Break
2010,4523401,Resistance,Break
2008,4705981,Symmetry,Break
2020,2591345,Symbiosis Remixed Part 2,Droptek
2020,2367561,Symbiosis Remixed Part 1,Droptek
2019,4072978,Symbiosis LP,Droptek
2019,2658643,A Dark Machine,ShockOne
2013,4191762,Universus,ShockOne
2017,4501359,The Great Electronic Swindle,The Bloody Beetroots
2013,3810812,HIDE,The Bloody Beetroots
2009,5032657,ROMBORAMA,The Bloody Beetroots
2020,3329645,Ex Machina,Metrik
2016,3601972,LIFE/THRILLS,Metrik
2014,3669208,Universal Language,Metrik
2010,1935730,The Departure,Metrik
2020,3251604,The Promised Land,MUZZ
2015,4270458,Diversified,Tantrum Desire
2021,3525740,Tritonia 362,Tritonal
2021,3675628,Tritonia 361,Tritonal
2021,3599719,Tritonia 360,Tritonal
2021,1862975,Piercing The Quiet - 10th Anniversary Remixes - Pt. One,Tritonal
2021,3854993,Reverence,Tritonal
2019,4788204,U & Me,Tritonal
2016,3061571,Painting With Dreams,Tritonal
2015,4633293,Tritonia - Chapter 002,Tritonal
2014,4702496,Tritonia - Chapter 001,Tritonal
2013,12640090,Piercing The Quiet Remixed - The Extended Mixes,Tritonal
2012,6641260,Piercing The Quiet (Extended Mixes),Tritonal
2011,4773327,Piercing The Quiet,Tritonal
2017,2095148,Wardance (Stream Version),Drumsound & Bassline Smith
2013,8481520,Wall of Sound,Drumsound & Bassline Smith
2004,3161571,Nature of the Beast,Drumsound & Bassline Smith
2021,3722090,.wav,Flux Pavilion
2015,2807088,Tesla,Flux Pavilion
2014,2286291,Freeway Remixes,Flux Pavilion
2013,2060111,Blow the Roof,Flux Pavilion
2019,2302165,Hi This Is Flume (Mixtape),Flume
2017,4579859,Skin: The Remixes,Flume
2016,3634977,Skin,Flume
2012,6658023,Flume: Deluxe Edition,Flume
2012,2999126,Flume,Flume
2019,4561886,What a Time To Be Alive (Deluxe Edition),Tom Walker
2019,3091598,What a Time To Be Alive,Tom Walker
2021,2736983,Only Honest On The Weekend,Becky Hill
2019,2789955,Get To Know,Becky Hill
2016,3458429,Piece of Me (Remixes),MK
2016,4195995,Dispositions,Emperor
2019,3844642,Mystery Machine,Matrix & Futurebound
2007,3502624,Universal Truth,Matrix & Futurebound
2021,2868923,Mixtape Sprayout Vol. 2,Degs
2020,3561447,Letters From Ndegwa,Degs
2018,2116360,Mixtape Sprayout,Degs
2017,3932660,Elements,Hybrid Minds
2014,4619998,Mountains (Remixed),Hybrid Minds
2014,4340554,Mountains,Hybrid Minds
2000,3661650,Sleepwalk,Matrix
2021,2532582,Essence,Andromedik
2021,4508909,Rebuilding Better Worlds,London Elektricity
2021,5101434,"Crikey! (Yikes, Aged 10 Years)",London Elektricity
2020,8692808,Building Better Worlds (Commentary Version),London Elektricity
2019,4697743,Building Better Worlds,London Elektricity
2018,4588646,Syncopated City: The Director's Cut,London Elektricity
2018,8295821,Syncopated City: The Director's Cut (Commentary Version),London Elektricity
2017,4167418,Live At Pohoda,London Elektricity Big Band
2016,4593145,Are We There Yet? (The Med School Scans),London Elektricity
2015,7405323,Are We There Yet?,London Elektricity
2015,9191090,Are We There Yet? (Deluxe),London Elektricity
2011,4126211,Yikes! Remixes!!,London Elektricity
2011,3692237,Yikes!,London Elektricity
2008,4027376,Syncopated City,London Elektricity
2006,4265210,Medical History,London Elektricity
2006,4209742,Live At The Scala,London Elektricity
2006,4234499,Facelift,London Elektricity
2005,3921429,Power Ballads,London Elektricity
2003,4279373,Billion Dollar Gravy,London Elektricity
1999,6512512,Pull The Plug (20th Anniversary Commentary Version),London Elektricity
1999,4370606,Pull the Plug,London Elektricity
2021,1483638,Butterfly Effect (Acoustics),Koven
2021,6148207,Butterfly Effect (Deluxe),Koven
2020,3020222,Butterfly Effect,Koven
2018,4560088,Retrospective,Koven
2014,2726919,Hereinafter,Koven
2015,2998570,Octopus,Oliver Heldens
2020,7362266,Outer Edges ∴ Live,Noisia
2017,5273575,Outer Edges Remixes,Noisia
2016,3502932,Outer Edges,Noisia
2013,2700072,I Am Legion,I Am Legion
2013,4909965,Devil May Cry (Original Game Soundtrack),Noisia
2012,7354655,Split the Atom (Special Edition),Noisia
2010,3411860,Split The Atom,Noisia
2021,3791015,Interplanetary Radio,Unglued
